,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
30,Otto -1.2L Lopol Electric Non Stick Ceramic Frying Pan Rice Portable Mini Rice Cooker Periuk Nasi,18.0,137,0.0,16,4.8,1000.0,1900.0,743,Others,0.0,0,0.0,1098,0
31,🔥READY STOCK🔥🇲🇾  Smart Mini Rice Cooker Home Students Small Multi-Function Travel 1.2L/2.5L Ready Stock,43.5,127,0.0,77,4.9,1900.0,3300.0,3200,Others,0.0,0,0.0,849,0
32,Russell Taylors Conventional Rice Cooker Steam Rack Included (1.8L) ERC-18,69.99,128,180.0,61,4.8,5400.0,8200.0,4100,Russell Taylors,0.0,24,1.8,1963,600
33,Borong365 Multifunctional Non-Stick / Stainless Steel Mini Electric Cooker Mini Rice Cooker Steamer Pot With Steam Tray,17.9,111,0.0,62,4.9,790.0,1500.0,512,Others,0.0,0,0.0,1943,0
34,Rice Cooker Thermal Fuse 250V 10A Temperature Celsius 105 110 115 120 133 142 155 165 169 172 184 185 192 216 240 Degree,1.78,97,0.0,1,4.9,108.0,778.0,41,Others,0.0,0,0.0,1773,0
35,Lopol 2.5L Electric NonStick Ceramic Grill Frying Pan Rice Multi Function Cooker,23.9,105,0.0,52,4.9,3800.0,7300.0,3200,Others,0.0,0,0.0,57,0
36,Mini rice cooker 1.2L small 1-2 people rice cooker multifunctional steaming household single kitchen small appliances,46.0,92,46.5,1,4.9,805.0,1500.0,1100,Others,1500.0,3,1.2,0,200
37,PANASONIC RICE COOKER 1.8L SR-E18A / PERIUK NASI PANASONIC RICE COOKER 1.0L SR-E10,92.9,67,0.0,28,4.9,812.0,1400.0,751,Panasonic,0.0,0,0.0,883,0
38,2 Layers Non Stick Mini Cooker Pot Steamer Tray Rice Soup Maggi Mee Steamboat 1.8L Multifunction Periuk Nasi Elektrik 火锅,27.99,90,0.0,0,4.8,1100.0,2800.0,834,Others,0.0,0,0.0,3551,0
39,Primada 8 Liter Jumbo Pressure Cooker PC8030 + FREE MARBLE SET/ELECTRIC MULTICOOKER/2 SS POTS/BBQ STEAMBOAT POT,609.0,1,0.0,53,4.9,489.0,817.0,867,Primada,0.0,24,0.0,172,0
40,Gaabor Electric Rice Cooker GR-S60A Big Capacity Touch Multi Function Cooker Kitchen Appliances,149.0,25,269.0,45,4.9,118.0,201.0,404,Gaabor,0.0,0,0.0,0,0
41,Primada Smart Rice Cooker PSC60,205.0,0,399.0,49,4.9,212.0,358.0,174,Primada,0.0,0,0.0,390,0
42,Philips Viva Collection Rice Cooker HD3132 | HD3132/60,177.0,41,263.0,33,4.9,2200.0,3700.0,300,Others,0.0,0,0.0,119,0
43,Rss_Lopol Electric NonStick Ceramic/Marble Frying Pan Rice Multi Mini Rice Cooker,18.9,458,0.0,20,4.6,19900.0,41100.0,17200,Others,0.0,0,0.0,185,0
44,Xiaomi Mi Smart Mini Rice Cooker No IH Induction Heating 1.6L / 3L C1 Appointment LED Display Automatic Electric Cooker,99.0,44,0.0,68,5.0,501.0,1000.0,1200,Xiaomi,4400.0,3,3.0,435,650
45,"PHILIPS 6L All-In-One Cooker (Viva Collection) HD2137/62 | HD2137 - Slow cook, pressure cook, multicook",489.0,17,753.0,35,4.7,812.0,1700.0,1500,Others,0.0,0,0.0,96,0
46,Haier 1.0L Conventional Rice Cooker HRC-GX10A,49.0,43,79.0,38,4.8,42.0,71.0,41,Haier,0.0,0,0.0,3,0
47,REDBUZZ 3.2L Smart Electric Digital Rice Cooker Pot Multifunction Periuk Masak Noodle Non-Stick Cooking Pot Steamer 电煮锅,12.9,87,0.0,56,4.7,1100.0,2100.0,1900,Others,1500.0,12,3.2,1142,1000
48,Philips Daily Collection Jar Rice Cooker HD3129 | HD3129/60,159.0,51,253.0,37,4.9,3200.0,5100.0,4400,Others,0.0,0,0.0,0,0
49,NonStick Multi Mini Rice Cooker Frying Grill Pan POT Steamer Periuk Nasi Electric Steamboat Multifunction Elektrik Small,17.0,81,0.0,57,4.9,746.0,1300.0,532,Canel & Co,0.0,0,0.0,0,0
50,"Hericaine Mini Rice Cooker 1.2L Non Stick Pot 200W *Free Rice Spoon, Rice Cup, Steam Plate*",44.6,78,0.0,10,4.9,137.0,267.0,244,Others,0.0,3,1.2,733157,200
51,Lopol 1.8L Multi Cooker Mini Rice Cooker Electric Stainless Steel Multi Cooker Mini Rice Cooker  - TF MART,18.5,75,0.0,74,4.9,2100.0,4200.0,200,Others,750.0,1,1.8,186,0
