,star,ratings(amount),total_sales,favorites,brand,weight,warranty,capacity,stock,power
94,4.8,42,71,Favorite (41),Haier,,,,3,
95,4.9,89,211,Favorite (100),,,,,89,
96,4.9,3.3k,5k,Favorite (2.3k),Kelen Munoz MMX,,1 Year,,306,
97,4.9,2.2k,3.7k,Favorite (3k),,,,,119,
98,4.9,292,526,Favorite (434),,,,,152,
99,4.9,124,254,Favorite (274),,5kg,3 Months,5L,,500W
100,4.9,1.9k,3.4k,Favorite (2.2k),,,12 Months,,303,
101,4.9,501,783,Favorite (415),Singer,,,,91,
102,4.8,2.5k,4.2k,Favorite (3.4k),,,,,61,
103,4.9,995,1.5k,Favorite (609),Midea,,12 Months,0.6L,36,417W
104,4.9,817,1.5k,Favorite (1.4k),,,,,,
105,4.9,46,81,Favorite (63),,,,,1776,
106,4.9,217,405,Favorite (190),,,,,1096,
107,4.8,338,688,Favorite (533),,,,,,
108,4.9,1.4k,2.2k,Favorite (1.2k),Pensonic,,12 Months,,1542,
109,4.9,207,336,Favorite (146),Toshiba,5kg,1 YEAR GENERAL,1.8L,477,904W
110,4.9,1.1k,2.2k,Favorite (531),Midea,1.44kg,1 Year,0.6L,1158,
111,4.9,4.6k,8.1k,Favorite (6.5k),,,,,524,
112,4.9,3.3k,5.9k,Favorite (2.2k),Midea,1.5kg,12 Months,0.6L,1314,417W
113,4.9,2.9k,4.8k,Favorite (1.8k),BEC,,,,39,
114,4.9,285,488,Favorite (244),Milux,4.6kg,13 Months,4.5L,38,1500W
115,5.0,303,1.4k,Favorite (92),,,,,37,
116,4.9,1.2k,1.9k,Favorite (1.1k),Milux,2.5kg,12 Months,0.3L,256,200W
117,4.9,307,486,Favorite (556),Kelen Munoz MMX,,,,92,
118,4.9,1.6k,2.6k,Favorite (860),,,12 Months,,388,
119,4.9,124,243,Favorite (550),,1.95kg,12 Months,3L,89,1000W
120,4.9,236,402,Favorite (215),Toshiba,,12 Months,1.8L,733,
121,4.9,358,637,Favorite (281),,,,,2546,
122,4.8,221,379,Favorite (300),Dessini,,,,529,
123,5.0,261,408,Favorite (582),Europlus,,12 Months,,14,
124,4.9,2.4k,3.5k,Favorite (1.9k),Kelen Munoz MMX,5kg,1 Year,6L,209,1000W
125,5.0,4,16,Favorite (39),Joyoung,,12 Months,,30,
126,,,,,,,,,,
127,4.9,137,267,Favorite (244),,,3 Months,1.2L,733157,200W
128,4.9,101,166,Favorite (406),Tefal,,2 Years,1.5L,8,1200W
129,5.0,20,38,Favorite (575),Kuvings,,,,24,
130,4.9,89,163,Favorite (488),Cuckoo,,,,146,
131,5.0,2,2,Favorite (3),,,,,49770,
132,4.9,71,116,Favorite (121),,,,,73,
133,4.7,1.2k,2.3k,Favorite (1.4k),,,,,3,
134,5.0,24,63,Favorite (45),,,,,188,
135,4.9,2.3k,3.6k,Favorite (2.2k),Russell Taylors,,24 Months,8L,237,1300W
136,4.9,304,608,Favorite (248),Panasonic,,,,59,
137,4.9,164,283,Favorite (114),XMA,,,,19,
138,4.9,59,155,Favorite (48),Midea,,12 Months,,50,
139,4.9,220,379,Favorite (211),,,,,10,
140,4.9,124,238,Favorite (420),,,,,159,
141,5.0,73,124,Favorite (52),Panasonic,3kg,1 Years,1.8L,27,
142,4.9,3k,5.1k,Favorite (4.1k),Tefal,,,,21,
143,4.7,702,1.3k,Favorite (1.5k),,,,,722,
144,,,,,,,,,,
145,4.9,720,1.2k,Favorite (1k),Midea,,,,620,
146,4.9,216,377,Favorite (1.1k),,2.2kg,12 Months,0.8L,87,400W
147,5.0,24,43,Favorite (24),Tefal,,24 Months,1.8L,133,750W
148,4.9,600,1k,Favorite (471),Panasonic,2.1kg,12 Months,1.8L,100,600W
149,4.9,131,251,Favorite (316),SAMU GIKEN,2kg,12 Months,3L,321,500W
150,5.0,364,535,Favorite (168),Singer,,,,94,
151,4.9,89,163,Favorite (488),Cuckoo,,,,146,
152,4.8,214,458,Favorite (624),,,,,913,
153,4.9,318,1k,Favorite (625),,2kg,3 Months,1.2L,240,200W
154,4.9,256,396,Favorite (176),Trio,,,,14,
155,5.0,300,498,Favorite (334),Midea,,,,37,
156,4.9,413,2k,Favorite (3.6k),,,,,0,
157,4.8,1.1k,2k,Favorite (1.1k),,,,,90,
158,4.8,274,494,Favorite (711),,,No Warranty,,475,
159,4.9,2.2k,4.5k,Favorite (1.3k),,,No Warranty,,1480,
160,5.0,167,306,Favorite (146),,,,,30,
